EXECUTIONID,ABSTRACTIONID,ACTIONID,ARENAID,SHEETID,SYSTEMID,VARIANTID,ADAPTERID,X,Y,TYPE,VALUE,RAWVALUE,VALUETYPE,LASTMODIFIED,EXECUTIONTIME
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,d4508b37-19a2-466b-a5a5-f37e3cf4342d,original,1,-1,-1,jacoco_class_method.covered,0,,,2023-05-11T14:12:01.880Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,3cfe7c2b-23b1-40ba-a87e-bdaa481b5690,original,9,-1,-1,jacoco_class_branch.total,4,,,2023-05-11T14:12:01.272Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,execute,all,d4508b37-19a2-466b-a5a5-f37e3cf4342d,original,0,-1,-1,loader.classes_loaded,12,,,2023-05-11T14:12:01.491Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,64d05590-d055-4031-9454-10d0c7cfa0e1,original,8,-1,-1,jacoco_class_branch.covered,0,,,2023-05-11T14:12:01.196Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,c729dee8-59fd-4e75-a90c-27e2f05f4a74,original,9,-1,-1,jacoco_class_instruction.missedratio,1.0,,,2023-05-11T14:12:01.192Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,d4508b37-19a2-466b-a5a5-f37e3cf4342d,original,4,-1,-1,jacoco_class_complexity.coveredratio,0.0,,,2023-05-11T14:12:02.273Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,d4508b37-19a2-466b-a5a5-f37e3cf4342d,original,2,-1,-1,jacoco_class_instruction.total,30,,,2023-05-11T14:12:02.058Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,64d05590-d055-4031-9454-10d0c7cfa0e1,original,8,-1,-1,jacoco_class_complexity.missedratio,1.0,,,2023-05-11T14:12:01.196Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,d6edfca0-cf87-4494-a125-63aca4d76cf9,original,6,-1,-1,jacoco_class_method.covered,0,,,2023-05-11T14:12:02.499Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,3486e19a-52de-48c3-9837-421913effd88,original,8,-1,-1,jacoco_class_line.total,17,,,2023-05-11T14:12:02.645Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,df9bea55-3b46-4d48-bd65-53bd113e4135,original,7,-1,-1,jacoco_class_class.missed,1,,,2023-05-11T14:12:01.062Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,64d05590-d055-4031-9454-10d0c7cfa0e1,original,7,-1,-1,jacoco_class_method.total,6,,,2023-05-11T14:12:01.099Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,execute,all,df9bea55-3b46-4d48-bd65-53bd113e4135,original,0,-1,-1,loader.classes_loaded,12,,,2023-05-11T14:11:58.783Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,3cfe7c2b-23b1-40ba-a87e-bdaa481b5690,original,2,-1,-1,jacoco_class_complexity.covered,0,,,2023-05-11T14:12:00.177Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,df9bea55-3b46-4d48-bd65-53bd113e4135,original,0,-1,-1,jacoco_class_line.missed,11,,,2023-05-11T14:11:59.468Z,0
