EXECUTIONID,ABSTRACTIONID,ACTIONID,ARENAID,SHEETID,SYSTEMID,VARIANTID,ADAPTERID,X,Y,TYPE,VALUE,RAWVALUE,VALUETYPE,LASTMODIFIED,EXECUTIONTIME
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,test0_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant4,0,0,1,value,_EXCEPTION_,java.util.EmptyStackException,java.lang.Object,2022-12-22T14:01:37.058Z,189927
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,all,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant0,0,-1,-1,mutation.linenumber_bc,44,,,2022-12-22T14:01:36.702Z,0
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,all,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant3,0,-1,-1,mutation.block,5,,,2022-12-22T14:01:37.038Z,0
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,test3_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant0,0,0,1,value,true,true,boolean,2022-12-22T14:01:36.651Z,168524
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,all,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant3,0,-1,-1,mutation.class,miniml.Stack,,,2022-12-22T14:01:37.038Z,0
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,original_jacoco,all,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,original,0,-1,-1,jacoco_class_complexity.covered,8,,,2022-12-22T14:01:34.610Z,0
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,test6_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,original,0,0,0,value,_INSTANCE_,miniml.Stack,miniml.Stack,2022-12-22T14:01:36.588Z,224420
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,original_pit,test7_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant8,0,0,0,value,_INSTANCE_,miniml.Stack,miniml.Stack,2022-12-22T14:01:36.237Z,263971
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,original_pit,test1_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant9,0,0,-1,value,null,null,void,2022-12-22T14:01:36.273Z,150560
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,test4_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,original,0,0,-1,value,null,null,void,2022-12-22T14:01:36.565Z,143593
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,original_pit,all,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant6,0,-1,-1,mutation.linenumber_bc,60,,,2022-12-22T14:01:36.000Z,0
